,id,lon,lat,geometry
755,599034.0,-16.174180455174998,16.27395833729499,POINT (-16.174180455174998 16.27395833729499)
756,599039.0,-16.163763788524996,16.27395833729499,POINT (-16.163763788524996 16.27395833729499)
757,599042.0,-16.157513788534995,16.27395833729499,POINT (-16.157513788534995 16.27395833729499)
759,602014.0,-16.167930455184997,16.27187500396499,POINT (-16.167930455184997 16.27187500396499)
760,604980.0,-16.190847121814997,16.26979167063499,POINT (-16.190847121814997 16.26979167063499)
762,619860.0,-16.201263788464995,16.25937500398499,POINT (-16.201263788464995 16.25937500398499)
764,622829.0,-16.217930455104998,16.25729167065499,POINT (-16.217930455104998 16.25729167065499)
766,625750.0,-16.334597121585,16.25520833732499,POINT (-16.334597121585 16.25520833732499)
767,625754.0,-16.326263788264995,16.25520833732499,POINT (-16.326263788264995 16.25520833732499)
768,628731.0,-16.326263788264995,16.253125003994988,POINT (-16.326263788264995 16.253125003994988)
770,631757.0,-16.224180455095,16.25104167066499,POINT (-16.224180455095 16.25104167066499)
771,631759.0,-16.220013788434997,16.25104167066499,POINT (-16.220013788434997 16.25104167066499)
772,634691.0,-16.313763788284998,16.24895833733499,POINT (-16.313763788284998 16.24895833733499)
773,634736.0,-16.220013788434997,16.24895833733499,POINT (-16.220013788434997 16.24895833733499)
774,634737.0,-16.217930455104998,16.24895833733499,POINT (-16.217930455104998 16.24895833733499)
775,637665.0,-16.320013788275,16.246875004004988,POINT (-16.320013788275 16.246875004004988)
776,637711.0,-16.224180455095,16.246875004004988,POINT (-16.224180455095 16.246875004004988)
777,640686.0,-16.228347121754997,16.24479167067499,POINT (-16.228347121754997 16.24479167067499)
778,649615.0,-16.232513788414998,16.238541670684988,POINT (-16.232513788414998 16.238541670684988)
779,652544.0,-16.332513788254996,16.23645833735499,POINT (-16.332513788254996 16.23645833735499)
780,652565.0,-16.288763788324996,16.23645833735499,POINT (-16.288763788324996 16.23645833735499)
781,652592.0,-16.232513788414998,16.23645833735499,POINT (-16.232513788414998 16.23645833735499)
782,655563.0,-16.245013788394996,16.23437500402499,POINT (-16.245013788394996 16.23437500402499)
783,658545.0,-16.234597121744997,16.232291670694988,POINT (-16.234597121744997 16.232291670694988)
784,661518.0,-16.242930455064997,16.23020833736499,POINT (-16.242930455064997 16.23020833736499)
